,Age,Status,Identification
37,19.0,Dead,1
42,21.0,Dead,1
49,24.0,Dead,1
54,26.0,Dead,1
63,30.0,Dead,2
70,33.0,Dead,2
73,34.0,Dead,3
76,35.0,Dead,1
79,36.0,Dead,2
84,38.0,Dead,4
87,39.0,Dead,2
90,40.0,Dead,1
93,41.0,Dead,2
96,42.0,Dead,3
99,43.0,Dead,1
102,44.0,Dead,3
105,45.0,Dead,1
108,46.0,Dead,2
111,47.0,Dead,4
114,48.0,Dead,4
117,49.0,Dead,2
120,50.0,Dead,4
123,51.0,Dead,6
126,52.0,Dead,12
129,53.0,Dead,13
132,54.0,Dead,5
135,55.0,Dead,3
138,56.0,Dead,8
141,57.0,Dead,8
144,58.0,Dead,9
147,59.0,Dead,13
150,60.0,Dead,13
153,61.0,Dead,14
156,62.0,Dead,12
159,63.0,Dead,7
162,64.0,Dead,15
165,65.0,Dead,12
168,66.0,Dead,10
171,67.0,Dead,14
174,68.0,Dead,19
177,69.0,Dead,17
180,70.0,Dead,13
183,71.0,Dead,15
186,72.0,Dead,19
189,73.0,Dead,17
192,74.0,Dead,15
195,75.0,Dead,9
198,76.0,Dead,16
201,77.0,Dead,12
204,78.0,Dead,13
207,79.0,Dead,11
210,80.0,Dead,17
213,81.0,Dead,7
216,82.0,Dead,12
219,83.0,Dead,15
222,84.0,Dead,15
225,85.0,Dead,11
228,86.0,Dead,7
231,87.0,Dead,9
234,88.0,Dead,8
237,89.0,Dead,13
240,90.0,Dead,9
243,91.0,Dead,9
246,92.0,Dead,3
249,93.0,Dead,6
252,94.0,Dead,2
255,95.0,Dead,2
258,96.0,Dead,1
260,97.0,Dead,2
262,98.0,Dead,1
264,99.0,Dead,1
